Date,Open,High,Low,Close,Adj Close,Volume
2018-12-07,38.009998,38.270000,36.580002,36.750000,36.750000,638000
2018-12-10,36.520000,37.439999,36.070000,36.889999,36.889999,746000
2018-12-11,37.380001,38.290001,37.180000,37.619999,37.619999,755200
2018-12-12,38.439999,38.480000,37.500000,37.540001,37.540001,609300
2018-12-13,37.610001,37.900002,36.660000,36.939999,36.939999,424500
2018-12-14,36.360001,36.939999,35.889999,35.939999,35.939999,796100
2018-12-17,35.959999,37.279999,35.599998,35.889999,35.889999,829900
2018-12-18,36.490002,37.480000,36.099998,36.869999,36.869999,738800
2018-12-19,36.860001,36.990002,34.250000,34.639999,34.639999,888800
2018-12-20,34.669998,35.459999,34.200001,34.540001,34.540001,603500
2018-12-21,34.419998,35.029999,32.759998,32.869999,32.869999,2420700
2018-12-24,32.459999,32.860001,31.709999,31.709999,31.709999,463100
2018-12-26,31.889999,33.570000,31.469999,33.549999,33.549999,769300
2018-12-27,33.020000,33.889999,32.619999,33.889999,33.889999,559900
2018-12-28,33.990002,34.279999,32.860001,33.150002,33.150002,625800
2018-12-31,33.230000,33.830002,32.599998,33.180000,33.180000,810800
2019-01-02,32.549999,34.419998,32.330002,34.259998,34.259998,669300
2019-01-03,32.230000,32.930000,31.250000,31.350000,31.350000,2120300
2019-01-04,32.029999,32.950001,31.790001,32.220001,32.220001,932400
2019-01-07,32.349998,32.740002,31.660000,32.139999,32.139999,1160200
2019-01-08,32.470001,33.230000,32.000000,32.470001,32.470001,1365200
2019-01-09,33.150002,34.750000,32.970001,33.950001,33.950001,1217400
2019-01-10,33.810001,34.950001,33.700001,34.590000,34.590000,908100
2019-01-11,34.470001,36.330002,34.400002,35.810001,35.810001,831700
2019-01-14,35.330002,36.000000,35.080002,35.599998,35.599998,805500
2019-01-15,35.860001,36.200001,35.299999,35.520000,35.520000,507700
2019-01-16,35.590000,36.709999,35.490002,35.700001,35.700001,672300
2019-01-17,35.330002,36.540001,35.160000,36.259998,36.259998,696700
2019-01-18,36.560001,37.220001,36.099998,36.650002,36.650002,752400
2019-01-22,36.480000,36.480000,35.389999,35.660000,35.660000,441200
2019-01-23,35.910000,36.150002,34.610001,35.000000,35.000000,700900
2019-01-24,35.480000,36.900002,35.480000,36.430000,36.430000,794900
2019-01-25,36.869999,38.430000,36.570000,38.200001,38.200001,912100
2019-01-28,37.299999,38.750000,37.020000,38.450001,38.450001,790200
2019-01-29,38.590000,38.590000,37.509998,37.560001,37.560001,944500
2019-01-30,37.970001,38.689999,37.480000,38.439999,38.439999,1298900
2019-01-31,36.549999,38.189999,35.360001,37.150002,37.150002,2552700
2019-02-01,37.139999,37.849998,37.020000,37.459999,37.459999,793400
2019-02-04,37.639999,37.820000,36.750000,37.580002,37.580002,864900
2019-02-05,37.520000,38.919998,37.520000,38.750000,38.750000,823600
2019-02-06,39.220001,40.000000,39.139999,39.310001,39.310001,999600
2019-02-07,38.740002,38.980000,37.650002,38.290001,38.290001,922700
2019-02-08,37.880001,38.490002,37.830002,37.939999,37.939999,654300
2019-02-11,38.099998,38.419998,37.820000,38.110001,38.110001,375900
2019-02-12,38.529999,38.959999,38.400002,38.500000,38.500000,543000
2019-02-13,38.580002,38.950001,38.540001,38.660000,38.660000,508600
2019-02-14,38.580002,39.500000,38.430000,39.180000,39.180000,544900
2019-02-15,39.520000,40.009998,39.310001,40.009998,40.009998,606600
2019-02-19,39.759998,40.110001,39.099998,39.130001,39.130001,762000
2019-02-20,39.259998,39.709999,39.000000,39.380001,39.380001,521800
2019-02-21,39.380001,39.610001,39.080002,39.310001,39.310001,368300
2019-02-22,39.599998,40.189999,39.430000,39.790001,39.790001,387400
2019-02-25,40.200001,40.830002,39.950001,40.009998,40.009998,476600
2019-02-26,39.840000,39.970001,39.049999,39.439999,39.439999,579600
2019-02-27,39.220001,39.570000,38.790001,39.509998,39.509998,359700
2019-02-28,39.310001,40.230000,39.000000,40.130001,40.130001,668100
2019-03-01,40.770000,41.259998,40.400002,41.070000,41.070000,719900
2019-03-04,41.160000,41.869999,40.910000,41.490002,41.490002,885900
2019-03-05,41.500000,42.000000,41.290001,41.389999,41.389999,541100
2019-03-06,41.290001,41.299999,40.049999,40.279999,40.279999,596200
2019-03-07,40.119999,40.139999,39.320000,39.689999,39.689999,376200
2019-03-08,39.200001,40.090000,38.790001,40.070000,40.070000,352300
2019-03-11,40.290001,41.709999,40.290001,41.500000,41.500000,710000
2019-03-12,41.500000,41.680000,40.700001,41.070000,41.070000,333000
2019-03-13,41.340000,41.720001,41.119999,41.160000,41.160000,525500
2019-03-14,41.150002,41.400002,40.480000,40.500000,40.500000,436600
2019-03-15,40.660000,41.740002,40.509998,41.369999,41.369999,995400
2019-03-18,41.439999,41.700001,40.830002,41.540001,41.540001,750200
2019-03-19,41.810001,42.349998,41.590000,42.139999,42.139999,537500
2019-03-20,42.049999,42.259998,40.730000,41.259998,41.259998,430900
2019-03-21,41.419998,43.610001,41.419998,43.230000,43.230000,879300
2019-03-22,42.939999,43.119999,41.770000,41.799999,41.799999,453200
2019-03-25,41.590000,42.470001,41.230000,42.029999,42.029999,523600
2019-03-26,42.369999,43.080002,42.119999,42.520000,42.520000,397300
2019-03-27,42.470001,42.669998,41.209999,41.779999,41.779999,307900
2019-03-28,41.919998,42.349998,41.240002,41.619999,41.619999,367200
2019-03-29,42.090000,42.180000,41.750000,42.070000,42.070000,549400
2019-04-01,40.320000,40.919998,39.290001,40.529999,40.529999,1298000
2019-04-02,40.650002,41.270000,40.380001,40.950001,40.950001,544300
2019-04-03,41.650002,42.980000,41.490002,42.639999,42.639999,842600
2019-04-04,42.619999,43.500000,42.330002,42.799999,42.799999,747800
2019-04-05,42.720001,43.400002,42.720001,43.209999,43.209999,492400
2019-04-08,43.090000,43.500000,42.669998,43.410000,43.410000,504700
2019-04-09,43.209999,43.590000,42.990002,43.220001,43.220001,309000
2019-04-10,43.180000,44.070000,43.169998,43.990002,43.990002,447800
2019-04-11,44.090000,44.349998,43.720001,43.980000,43.980000,391200
2019-04-12,44.320000,44.810001,43.970001,44.720001,44.720001,383800
2019-04-15,44.660000,44.889999,44.209999,44.730000,44.730000,364200
2019-04-16,44.990002,46.340000,44.939999,46.220001,46.220001,869100
2019-04-17,46.820000,47.669998,46.250000,46.830002,46.830002,501700
2019-04-18,46.610001,47.240002,46.340000,47.180000,47.180000,500900
2019-04-22,47.110001,47.299999,46.660000,46.810001,46.810001,285000
2019-04-23,46.869999,47.400002,46.639999,47.139999,47.139999,531000
2019-04-24,47.150002,48.389999,47.130001,48.009998,48.009998,609800
2019-04-25,48.090000,48.150002,46.570000,47.400002,47.400002,655000
2019-04-26,46.830002,47.490002,46.520000,47.080002,47.080002,509400
2019-04-29,47.049999,47.580002,46.799999,47.220001,47.220001,517500
2019-04-30,47.419998,47.820000,47.040001,47.580002,47.580002,695600
2019-05-01,48.169998,48.599998,47.529999,48.099998,48.099998,939600
2019-05-02,48.160000,49.490002,46.590000,49.310001,49.310001,1149800
2019-05-03,49.430000,50.119999,48.650002,50.020000,50.020000,1166100
2019-05-06,48.500000,49.799999,48.259998,49.709999,49.709999,898300
2019-05-07,49.220001,49.570000,48.470001,49.049999,49.049999,741500
2019-05-08,48.900002,49.599998,48.689999,48.980000,48.980000,477300
2019-05-09,48.240002,48.970001,47.799999,48.680000,48.680000,581400
2019-05-10,48.430000,49.360001,47.590000,48.549999,48.549999,561600
2019-05-13,47.130001,47.520000,44.689999,44.779999,44.779999,1326700
2019-05-14,45.250000,45.880001,44.790001,45.730000,45.730000,989000
2019-05-15,45.369999,46.290001,44.680000,46.029999,46.029999,483300
2019-05-16,45.410000,46.250000,44.380001,44.639999,44.639999,939500
2019-05-17,43.939999,44.000000,41.939999,42.200001,42.200001,869800
2019-05-20,41.290001,41.950001,40.759998,41.000000,41.000000,1247400
2019-05-21,41.650002,42.340000,40.919998,41.000000,41.000000,977400
2019-05-22,40.590000,41.080002,40.020000,40.389999,40.389999,513300
2019-05-23,39.720001,40.000000,38.919998,39.349998,39.349998,1169400
2019-05-24,39.310001,40.169998,39.150002,39.400002,39.400002,612500
2019-05-28,39.590000,39.590000,38.020000,38.049999,38.049999,784500
2019-05-29,37.630001,38.560001,37.360001,38.060001,38.060001,801600
2019-05-30,38.080002,38.660000,37.889999,38.290001,38.290001,438000
2019-05-31,37.840000,37.950001,37.240002,37.369999,37.369999,547200
2019-06-03,37.919998,38.680000,37.660000,37.990002,37.990002,768000
2019-06-04,38.480000,40.060001,38.320000,39.980000,39.980000,507100
2019-06-05,40.459999,40.849998,39.709999,40.080002,40.080002,640700
2019-06-06,40.180000,40.340000,39.349998,40.139999,40.139999,409900
2019-06-07,40.439999,40.939999,40.080002,40.709999,40.709999,476300
2019-06-10,40.950001,42.189999,40.950001,41.689999,41.689999,371500
2019-06-11,42.250000,42.369999,41.590000,42.139999,42.139999,445400
2019-06-12,41.930000,41.930000,41.169998,41.439999,41.439999,277200
2019-06-13,41.689999,42.020000,41.330002,41.660000,41.660000,275000
2019-06-14,41.139999,41.139999,39.720001,39.860001,39.860001,492200
2019-06-17,39.990002,40.549999,39.560001,39.990002,39.990002,509500
2019-06-18,40.220001,41.959999,40.220001,41.080002,41.080002,516100
2019-06-19,41.349998,41.520000,40.650002,41.220001,41.220001,281700
2019-06-20,42.060001,42.320000,41.430000,41.910000,41.910000,368500
2019-06-21,41.619999,42.049999,41.200001,41.259998,41.259998,792900
2019-06-24,41.439999,42.150002,41.430000,41.619999,41.619999,488700
2019-06-25,41.669998,41.959999,40.669998,40.779999,40.779999,548400
2019-06-26,41.520000,42.570000,41.520000,42.180000,42.180000,364000
2019-06-27,42.389999,43.599998,42.119999,43.310001,43.310001,668000
2019-06-28,43.580002,43.880001,42.750000,43.700001,43.700001,875900
2019-07-01,45.060001,45.889999,44.439999,44.900002,44.900002,843700
2019-07-02,44.660000,44.759998,44.080002,44.389999,44.389999,500600
2019-07-03,44.580002,44.639999,43.570000,44.240002,44.240002,196700
2019-07-05,43.889999,44.189999,43.610001,44.180000,44.180000,252000
2019-07-08,43.610001,43.630001,41.230000,41.599998,41.599998,1491000
2019-07-09,41.570000,42.700001,41.570000,42.669998,42.669998,642200
2019-07-10,43.209999,43.700001,42.599998,42.910000,42.910000,308300
2019-07-11,43.070000,43.169998,42.070000,42.709999,42.709999,351700
2019-07-12,42.750000,43.930000,42.740002,43.570000,43.570000,368000
2019-07-15,43.770000,44.040001,43.570000,43.869999,43.869999,376200
2019-07-16,43.849998,44.279999,43.139999,44.130001,44.130001,464000
2019-07-17,44.490002,44.490002,43.650002,43.919998,43.919998,506600
2019-07-18,43.830002,45.200001,43.830002,44.970001,44.970001,590000
2019-07-19,44.980000,45.700001,44.980000,45.389999,45.389999,554900
2019-07-22,45.630001,46.900002,45.630001,46.540001,46.540001,641500
2019-07-23,46.950001,47.209999,46.650002,47.150002,47.150002,549900
2019-07-24,47.369999,49.020000,47.090000,48.990002,48.990002,525700
2019-07-25,48.619999,48.820000,48.040001,48.400002,48.400002,592400
2019-07-26,48.759998,48.970001,48.419998,48.630001,48.630001,566600
2019-07-29,48.490002,48.889999,48.340000,48.869999,48.869999,291500
2019-07-30,48.580002,49.340000,48.209999,49.320000,49.320000,772100
2019-07-31,49.369999,50.009998,48.669998,49.049999,49.049999,1138200
2019-08-01,51.400002,60.000000,51.400002,57.080002,57.080002,3521400
2019-08-02,56.130001,56.980000,55.119999,55.150002,55.150002,1589600
2019-08-05,53.750000,53.830002,51.799999,52.200001,52.200001,1772900
2019-08-06,52.740002,53.810001,52.160000,52.650002,52.650002,1363300
2019-08-07,52.049999,53.160000,51.970001,52.340000,52.340000,1174200
2019-08-08,52.830002,54.520000,52.480000,54.310001,54.310001,1118300
